소비일자,소비업종,성별,연령대,소비건수
20190101,자동차,남성,60대,5790
20190101,자동차,여성,20대,4746
20190101,자동차,여성,30대,11255
20190101,자동차,여성,40대,12147
20190101,자동차,여성,50대,8239
20190101,자동차,여성,60대,2397
20190101,주유,남성,20대,54931
20190101,주유,남성,30대,171400
20190101,주유,남성,40대,208484
20190101,주유,남성,50대,167924
20190101,주유,남성,60대,72078
20190101,주유,여성,20대,26094
20190101,주유,여성,30대,66151
20190101,주유,여성,40대,83662
20190101,주유,여성,50대,78300
20190101,주유,여성,60대,26841
20190101,패션/잡화,남성,20대,12224
20190101,패션/잡화,남성,30대,26217
20190101,패션/잡화,남성,40대,35213
20190101,패션/잡화,남성,50대,22524
20190101,패션/잡화,남성,60대,7822
20190101,패션/잡화,여성,20대,22101
20190101,패션/잡화,여성,30대,28592
20190101,패션/잡화,여성,40대,41419
20190101,패션/잡화,여성,50대,27383
20190101,패션/잡화,여성,60대,10040
20190101,편의점,남성,20대,304185
20190101,편의점,남성,30대,486465
20190101,편의점,남성,40대,385529
20190101,편의점,남성,50대,189146
20190101,편의점,남성,60대,48643
20190101,편의점,여성,20대,187196
20190101,편의점,여성,30대,190471
20190101,편의점,여성,40대,193142
20190101,편의점,여성,50대,129374
20190101,편의점,여성,60대,32916
20190101,할인점/마트,남성,20대,146935
20190101,할인점/마트,남성,30대,594388
20190101,할인점/마트,남성,40대,807112
20190101,할인점/마트,남성,50대,521388
20190101,할인점/마트,남성,60대,230697
20190101,할인점/마트,여성,20대,166590
20190101,할인점/마트,여성,30대,455369
20190101,할인점/마트,여성,40대,642023
20190101,할인점/마트,여성,50대,510729
20190101,할인점/마트,여성,60대,218422
20190102,가전/가구,남성,20대,8301
20190102,가전/가구,남성,30대,28137
20190102,가전/가구,남성,40대,43500
20190102,가전/가구,남성,50대,39293
20190102,가전/가구,남성,60대,20255
20190102,가전/가구,여성,20대,8523
20190102,가전/가구,여성,30대,21272
20190102,가전/가구,여성,40대,33458
20190102,가전/가구,여성,50대,33215
20190102,가전/가구,여성,60대,14601
20190102,가정생활/서비스,남성,20대,730
20190102,가정생활/서비스,남성,30대,5628
20190102,가정생활/서비스,남성,40대,8238
20190102,가정생활/서비스,남성,50대,3522
20190102,가정생활/서비스,남성,60대,1756
20190102,가정생활/서비스,여성,20대,2020
20190102,가정생활/서비스,여성,30대,22825
20190102,가정생활/서비스,여성,40대,10795
20190102,가정생활/서비스,여성,50대,3347
20190102,가정생활/서비스,여성,60대,1813
20190102,교육/학원,남성,20대,10356
20190102,교육/학원,남성,30대,47144
20190102,교육/학원,남성,40대,131112
20190102,교육/학원,남성,50대,51373
20190102,교육/학원,남성,60대,11230
20190102,교육/학원,여성,20대,18937
20190102,교육/학원,여성,30대,69396
20190102,교육/학원,여성,40대,154234
20190102,교육/학원,여성,50대,43638
20190102,교육/학원,여성,60대,9438
20190102,미용,남성,20대,19988
20190102,미용,남성,30대,38814
20190102,미용,남성,40대,45030
20190102,미용,남성,50대,31101
20190102,미용,남성,60대,8381
20190102,미용,여성,20대,44879
20190102,미용,여성,30대,45778
20190102,미용,여성,40대,60745
20190102,미용,여성,50대,45471
20190102,미용,여성,60대,15591
20190102,백화점/상품권/아울렛,남성,20대,18482
20190102,백화점/상품권/아울렛,남성,30대,74160
20190102,백화점/상품권/아울렛,남성,40대,77421
20190102,백화점/상품권/아울렛,남성,50대,48852
20190102,백화점/상품권/아울렛,남성,60대,22299
20190102,백화점/상품권/아울렛,여성,20대,47792
20190102,백화점/상품권/아울렛,여성,30대,117368
20190102,백화점/상품권/아울렛,여성,40대,129700
20190102,백화점/상품권/아울렛,여성,50대,98951
20190102,백화점/상품권/아울렛,여성,60대,44960
20190102,스포츠/문화/레저,남성,20대,68958
20190102,스포츠/문화/레저,남성,30대,86564
20190102,스포츠/문화/레저,남성,40대,96177
20190102,스포츠/문화/레저,남성,50대,65095
20190102,스포츠/문화/레저,남성,60대,25154
20190102,스포츠/문화/레저,여성,20대,36841
20190102,스포츠/문화/레저,여성,30대,54616
20190102,스포츠/문화/레저,여성,40대,83860
20190102,스포츠/문화/레저,여성,50대,63239
20190102,스포츠/문화/레저,여성,60대,21607
20190102,여행/교통,남성,20대,21745
20190102,여행/교통,남성,30대,66063
20190102,여행/교통,남성,40대,85290
20190102,여행/교통,남성,50대,60091
20190102,여행/교통,남성,60대,21010
20190102,여행/교통,여성,20대,27378
20190102,여행/교통,여성,30대,49876
20190102,여행/교통,여성,40대,56678
20190102,여행/교통,여성,50대,40559
20190102,여행/교통,여성,60대,12425
20190102,요식/유흥,남성,20대,360738
20190102,요식/유흥,남성,30대,851458
20190102,요식/유흥,남성,40대,943191
20190102,요식/유흥,남성,50대,605850
20190102,요식/유흥,남성,60대,230445
20190102,요식/유흥,여성,20대,425586
20190102,요식/유흥,여성,30대,657626
20190102,요식/유흥,여성,40대,806661
20190102,요식/유흥,여성,50대,521778
20190102,요식/유흥,여성,60대,165242
20190102,의료,남성,20대,57143
20190102,의료,남성,30대,279691
20190102,의료,남성,40대,380279
20190102,의료,남성,50대,284924
20190102,의료,남성,60대,210903
20190102,의료,여성,20대,107293
20190102,의료,여성,30대,292848
20190102,의료,여성,40대,339005
20190102,의료,여성,50대,298790
20190102,의료,여성,60대,174507
20190102,자동차,남성,20대,11430
20190102,자동차,남성,30대,43554
20190102,자동차,남성,40대,57934
20190102,자동차,남성,50대,45908
20190102,자동차,남성,60대,21114
20190102,자동차,여성,20대,6568
20190102,자동차,여성,30대,20974
20190102,자동차,여성,40대,28547
20190102,자동차,여성,50대,23959
20190102,자동차,여성,60대,7942
20190102,주유,남성,20대,43180
20190102,주유,남성,30대,157682
20190102,주유,남성,40대,231708
20190102,주유,남성,50대,206903
20190102,주유,남성,60대,102075
20190102,주유,여성,20대,23455
20190102,주유,여성,30대,68497
20190102,주유,여성,40대,102263
20190102,주유,여성,50대,94248
20190102,주유,여성,60대,36523
20190102,패션/잡화,남성,20대,8833
20190102,패션/잡화,남성,30대,18844
20190102,패션/잡화,남성,40대,25856
20190102,패션/잡화,남성,50대,21722
20190102,패션/잡화,남성,60대,11432
20190102,패션/잡화,여성,20대,21944
20190102,패션/잡화,여성,30대,26993
20190102,패션/잡화,여성,40대,42405
20190102,패션/잡화,여성,50대,39803
20190102,패션/잡화,여성,60대,18971
20190102,편의점,남성,20대,301523
20190102,편의점,남성,30대,542896
20190102,편의점,남성,40대,448036
20190102,편의점,남성,50대,213697
20190102,편의점,남성,60대,56207
20190102,편의점,여성,20대,210143
20190102,편의점,여성,30대,223534
20190102,편의점,여성,40대,223951
20190102,편의점,여성,50대,142034
20190102,편의점,여성,60대,36923
20190102,할인점/마트,남성,20대,128559
20190102,할인점/마트,남성,30대,465982
20190102,할인점/마트,남성,40대,634253
20190102,할인점/마트,남성,50대,434911
20190102,할인점/마트,남성,60대,228874
20190102,할인점/마트,여성,20대,158277
20190102,할인점/마트,여성,30대,440279
20190102,할인점/마트,여성,40대,659948
20190102,할인점/마트,여성,50대,542508
20190102,할인점/마트,여성,60대,258844
20190103,가전/가구,남성,20대,8173
20190103,가전/가구,남성,30대,26654
20190103,가전/가구,남성,40대,42467
20190103,가전/가구,남성,50대,37523
20190103,가전/가구,남성,60대,19763
20190103,가전/가구,여성,20대,8827
20190103,가전/가구,여성,30대,20782
20190103,가전/가구,여성,40대,38313
20190103,가전/가구,여성,50대,31812
20190103,가전/가구,여성,60대,14470
20190103,가정생활/서비스,남성,20대,619
20190103,가정생활/서비스,남성,30대,3836
20190103,가정생활/서비스,남성,40대,4507
20190103,가정생활/서비스,남성,50대,1848
20190103,가정생활/서비스,남성,60대,1308
20190103,가정생활/서비스,여성,20대,1150
20190103,가정생활/서비스,여성,30대,17093
20190103,가정생활/서비스,여성,40대,6988
20190103,가정생활/서비스,여성,50대,2257
20190103,가정생활/서비스,여성,60대,1527
20190103,교육/학원,남성,20대,8833
20190103,교육/학원,남성,30대,45188
20190103,교육/학원,남성,40대,119727
20190103,교육/학원,남성,50대,42187
20190103,교육/학원,남성,60대,9369
20190103,교육/학원,여성,20대,16742
20190103,교육/학원,여성,30대,69560
20190103,교육/학원,여성,40대,137053
20190103,교육/학원,여성,50대,35452
20190103,교육/학원,여성,60대,9075
20190103,미용,남성,20대,19468
20190103,미용,남성,30대,35948
20190103,미용,남성,40대,43026
20190103,미용,남성,50대,29773
20190103,미용,남성,60대,9019
20190103,미용,여성,20대,44453
20190103,미용,여성,30대,45778
20190103,미용,여성,40대,61024
20190103,미용,여성,50대,44323
20190103,미용,여성,60대,14941
20190103,백화점/상품권/아울렛,남성,20대,16789
20190103,백화점/상품권/아울렛,남성,30대,64977
20190103,백화점/상품권/아울렛,남성,40대,72411
20190103,백화점/상품권/아울렛,남성,50대,45279
20190103,백화점/상품권/아울렛,남성,60대,22588
20190103,백화점/상품권/아울렛,여성,20대,45241
20190103,백화점/상품권/아울렛,여성,30대,115734
20190103,백화점/상품권/아울렛,여성,40대,129235
20190103,백화점/상품권/아울렛,여성,50대,96864
20190103,백화점/상품권/아울렛,여성,60대,43588
20190103,스포츠/문화/레저,남성,20대,65129
20190103,스포츠/문화/레저,남성,30대,81130
20190103,스포츠/문화/레저,남성,40대,90656
20190103,스포츠/문화/레저,남성,50대,60156
20190103,스포츠/문화/레저,남성,60대,23908
20190103,스포츠/문화/레저,여성,20대,35755
20190103,스포츠/문화/레저,여성,30대,56437
20190103,스포츠/문화/레저,여성,40대,82118
20190103,스포츠/문화/레저,여성,50대,60017
20190103,스포츠/문화/레저,여성,60대,21100
20190103,여행/교통,남성,20대,20840
20190103,여행/교통,남성,30대,63436
20190103,여행/교통,남성,40대,82517
20190103,여행/교통,남성,50대,58924
20190103,여행/교통,남성,60대,21998
20190103,여행/교통,여성,20대,25609
20190103,여행/교통,여성,30대,46834
20190103,여행/교통,여성,40대,55041
20190103,여행/교통,여성,50대,40853
20190103,여행/교통,여성,60대,12783
20190103,요식/유흥,남성,20대,369891
20190103,요식/유흥,남성,30대,895823
20190103,요식/유흥,남성,40대,1007265
20190103,요식/유흥,남성,50대,646920
20190103,요식/유흥,남성,60대,249214
20190103,요식/유흥,여성,20대,453215
20190103,요식/유흥,여성,30대,720244
20190103,요식/유흥,여성,40대,873984
20190103,요식/유흥,여성,50대,553988
20190103,요식/유흥,여성,60대,179342
20190103,의료,남성,20대,49140
20190103,의료,남성,30대,236599
20190103,의료,남성,40대,323065
20190103,의료,남성,50대,251976
20190103,의료,남성,60대,200294
20190103,의료,여성,20대,97399
20190103,의료,여성,30대,259587
20190103,의료,여성,40대,301487
20190103,의료,여성,50대,274291
20190103,의료,여성,60대,164866
20190103,자동차,남성,20대,11243
20190103,자동차,남성,30대,41826
20190103,자동차,남성,40대,54694
20190103,자동차,남성,50대,43463
20190103,자동차,남성,60대,20850
20190103,자동차,여성,20대,6165
20190103,자동차,여성,30대,20315
20190103,자동차,여성,40대,28063
20190103,자동차,여성,50대,22889
20190103,자동차,여성,60대,8198
20190103,주유,남성,20대,41931
20190103,주유,남성,30대,153637
20190103,주유,남성,40대,230282
20190103,주유,남성,50대,208404
20190103,주유,남성,60대,106925
20190103,주유,여성,20대,22130
20190103,주유,여성,30대,66933
20190103,주유,여성,40대,99801
20190103,주유,여성,50대,94366
20190103,주유,여성,60대,36178
20190103,패션/잡화,남성,20대,8768
20190103,패션/잡화,남성,30대,18137
20190103,패션/잡화,남성,40대,25125
20190103,패션/잡화,남성,50대,20965
20190103,패션/잡화,남성,60대,10855
20190103,패션/잡화,여성,20대,22924
20190103,패션/잡화,여성,30대,29491
20190103,패션/잡화,여성,40대,43198
20190103,패션/잡화,여성,50대,38472
20190103,패션/잡화,여성,60대,18971
20190103,편의점,남성,20대,312754
20190103,편의점,남성,30대,565843
20190103,편의점,남성,40대,463521
20190103,편의점,남성,50대,222607
20190103,편의점,남성,60대,57497
20190103,편의점,여성,20대,221404
20190103,편의점,여성,30대,240014
20190103,편의점,여성,40대,233649
20190103,편의점,여성,50대,146294
20190103,편의점,여성,60대,39218
20190103,할인점/마트,남성,20대,128553
20190103,할인점/마트,남성,30대,463752
20190103,할인점/마트,남성,40대,626169
20190103,할인점/마트,남성,50대,430850
20190103,할인점/마트,남성,60대,239016
20190103,할인점/마트,여성,20대,158441
20190103,할인점/마트,여성,30대,455474
20190103,할인점/마트,여성,40대,655403
20190103,할인점/마트,여성,50대,550903
20190103,할인점/마트,여성,60대,272426
20190104,가전/가구,남성,20대,8973
20190104,가전/가구,남성,30대,28038
20190104,가전/가구,남성,40대,43709
20190104,가전/가구,남성,50대,38062
20190104,가전/가구,남성,60대,19991
20190104,가전/가구,여성,20대,9352
20190104,가전/가구,여성,30대,21278
20190104,가전/가구,여성,40대,35609
20190104,가전/가구,여성,50대,32941
20190104,가전/가구,여성,60대,15353
20190104,가정생활/서비스,남성,20대,392
20190104,가정생활/서비스,남성,30대,1553
20190104,가정생활/서비스,남성,40대,2207
20190104,가정생활/서비스,남성,50대,1540
20190104,가정생활/서비스,남성,60대,1210
20190104,가정생활/서비스,여성,20대,503
20190104,가정생활/서비스,여성,30대,1793
20190104,가정생활/서비스,여성,40대,2369
20190104,가정생활/서비스,여성,50대,1905
20190104,가정생활/서비스,여성,60대,1133
20190104,교육/학원,남성,20대,8167
20190104,교육/학원,남성,30대,42970
20190104,교육/학원,남성,40대,105324
20190104,교육/학원,남성,50대,36612
20190104,교육/학원,남성,60대,9228
20190104,교육/학원,여성,20대,16684
20190104,교육/학원,여성,30대,64539
20190104,교육/학원,여성,40대,119928
20190104,교육/학원,여성,50대,31988
20190104,교육/학원,여성,60대,8025
20190104,미용,남성,20대,20706
20190104,미용,남성,30대,40191
20190104,미용,남성,40대,45227
20190104,미용,남성,50대,29934
20190104,미용,남성,60대,8804
20190104,미용,여성,20대,49018
20190104,미용,여성,30대,48720
20190104,미용,여성,40대,60311
20190104,미용,여성,50대,46645
20190104,미용,여성,60대,15728
20190104,백화점/상품권/아울렛,남성,20대,18937
20190104,백화점/상품권/아울렛,남성,30대,74813
20190104,백화점/상품권/아울렛,남성,40대,82425
20190104,백화점/상품권/아울렛,남성,50대,50000
20190104,백화점/상품권/아울렛,남성,60대,24362
20190104,백화점/상품권/아울렛,여성,20대,52701
20190104,백화점/상품권/아울렛,여성,30대,130666
20190104,백화점/상품권/아울렛,여성,40대,145114
20190104,백화점/상품권/아울렛,여성,50대,105331
20190104,백화점/상품권/아울렛,여성,60대,47595
20190104,스포츠/문화/레저,남성,20대,77925
20190104,스포츠/문화/레저,남성,30대,94912
20190104,스포츠/문화/레저,남성,40대,102103
20190104,스포츠/문화/레저,남성,50대,65140
20190104,스포츠/문화/레저,남성,60대,25430
20190104,스포츠/문화/레저,여성,20대,38907
20190104,스포츠/문화/레저,여성,30대,59618
20190104,스포츠/문화/레저,여성,40대,85150
20190104,스포츠/문화/레저,여성,50대,62202
20190104,스포츠/문화/레저,여성,60대,20891
20190104,여행/교통,남성,20대,26888
20190104,여행/교통,남성,30대,75905
20190104,여행/교통,남성,40대,94468
20190104,여행/교통,남성,50대,63799
20190104,여행/교통,남성,60대,22385
20190104,여행/교통,여성,20대,30420
20190104,여행/교통,여성,30대,53653
20190104,여행/교통,여성,40대,60752
20190104,여행/교통,여성,50대,41590
20190104,여행/교통,여성,60대,12652
20190104,요식/유흥,남성,20대,411530
20190104,요식/유흥,남성,30대,998802
20190104,요식/유흥,남성,40대,1140074
20190104,요식/유흥,남성,50대,708198
20190104,요식/유흥,남성,60대,259086
20190104,요식/유흥,여성,20대,506686
20190104,요식/유흥,여성,30대,785600
20190104,요식/유흥,여성,40대,949467
20190104,요식/유흥,여성,50대,587046
20190104,요식/유흥,여성,60대,188243
20190104,의료,남성,20대,50769
20190104,의료,남성,30대,242401
20190104,의료,남성,40대,335932
20190104,의료,남성,50대,262061
20190104,의료,남성,60대,199674
20190104,의료,여성,20대,100469
20190104,의료,여성,30대,264969
20190104,의료,여성,40대,305920
20190104,의료,여성,50대,283442
20190104,의료,여성,60대,167352
20190104,자동차,남성,20대,12545
20190104,자동차,남성,30대,44167
20190104,자동차,남성,40대,54214
20190104,자동차,남성,50대,43566
20190104,자동차,남성,60대,21010
20190104,자동차,여성,20대,6632
20190104,자동차,여성,30대,21657
20190104,자동차,여성,40대,28367
20190104,자동차,여성,50대,22785
20190104,자동차,여성,60대,8180
20190104,주유,남성,20대,46630
20190104,주유,남성,30대,166158
20190104,주유,남성,40대,240438
20190104,주유,남성,50대,213652
20190104,주유,남성,60대,108798
20190104,주유,여성,20대,23426
20190104,주유,여성,30대,69647
20190104,주유,여성,40대,101724
20190104,주유,여성,50대,94444
20190104,주유,여성,60대,36309
20190104,패션/잡화,남성,20대,9977
20190104,패션/잡화,남성,30대,19988
20190104,패션/잡화,남성,40대,27344
20190104,패션/잡화,남성,50대,22300
20190104,패션/잡화,남성,60대,10560
20190104,패션/잡화,여성,20대,26841
20190104,패션/잡화,여성,30대,31867
20190104,패션/잡화,여성,40대,43217
20190104,패션/잡화,여성,50대,40351
20190104,패션/잡화,여성,60대,19109
20190104,편의점,남성,20대,330167
20190104,편의점,남성,30대,599648
20190104,편의점,남성,40대,491363
20190104,편의점,남성,50대,233333
20190104,편의점,남성,60대,59203
20190104,편의점,여성,20대,235291
20190104,편의점,여성,30대,257059
20190104,편의점,여성,40대,244524
20190104,편의점,여성,50대,152353
20190104,편의점,여성,60대,40268
20190104,할인점/마트,남성,20대,134612
20190104,할인점/마트,남성,30대,494696
20190104,할인점/마트,남성,40대,659377
20190104,할인점/마트,남성,50대,456145
20190104,할인점/마트,남성,60대,247212
20190104,할인점/마트,여성,20대,166818
20190104,할인점/마트,여성,30대,469344
20190104,할인점/마트,여성,40대,670352
20190104,할인점/마트,여성,50대,576394
20190104,할인점/마트,여성,60대,282036
20190105,가전/가구,남성,20대,10035
20190105,가전/가구,남성,30대,33834
20190105,가전/가구,남성,40대,47299
20190105,가전/가구,남성,50대,39627
20190105,가전/가구,남성,60대,17780
20190105,가전/가구,여성,20대,10601
20190105,가전/가구,여성,30대,23607
20190105,가전/가구,여성,40대,32751
20190105,가전/가구,여성,50대,31290
20190105,가전/가구,여성,60대,13659
20190105,가정생활/서비스,남성,20대,292
20190105,가정생활/서비스,남성,30대,1448
20190105,가정생활/서비스,남성,40대,2613
20190105,가정생활/서비스,남성,50대,1707
20190105,가정생활/서비스,남성,60대,750
20190105,가정생활/서비스,여성,20대,362
20190105,가정생활/서비스,여성,30대,1127
20190105,가정생활/서비스,여성,40대,1947
20190105,가정생활/서비스,여성,50대,1494
20190105,가정생활/서비스,여성,60대,817
20190105,교육/학원,남성,20대,10531
20190105,교육/학원,남성,30대,42906
20190105,교육/학원,남성,40대,83747
20190105,교육/학원,남성,50대,31942
20190105,교육/학원,남성,60대,6263
20190105,교육/학원,여성,20대,20099
20190105,교육/학원,여성,30대,50915
20190105,교육/학원,여성,40대,88635
20190105,교육/학원,여성,50대,24546
20190105,교육/학원,여성,60대,5617
20190105,미용,남성,20대,30635
20190105,미용,남성,30대,63512
20190105,미용,남성,40대,70001
20190105,미용,남성,50대,37754
20190105,미용,남성,60대,9449
20190105,미용,여성,20대,55807
20190105,미용,여성,30대,58457
20190105,미용,여성,40대,70957
20190105,미용,여성,50대,46808
20190105,미용,여성,60대,15078
20190105,백화점/상품권/아울렛,남성,20대,40308
20190105,백화점/상품권/아울렛,남성,30대,159532
20190105,백화점/상품권/아울렛,남성,40대,159446
20190105,백화점/상품권/아울렛,남성,50대,76354
20190105,백화점/상품권/아울렛,남성,60대,28377
20190105,백화점/상품권/아울렛,여성,20대,85980
20190105,백화점/상품권/아울렛,여성,30대,199945
20190105,백화점/상품권/아울렛,여성,40대,202337
20190105,백화점/상품권/아울렛,여성,50대,121912
20190105,백화점/상품권/아울렛,여성,60대,47320
20190105,스포츠/문화/레저,남성,20대,120065
20190105,스포츠/문화/레저,남성,30대,160647
20190105,스포츠/문화/레저,남성,40대,180851
20190105,스포츠/문화/레저,남성,50대,103304
20190105,스포츠/문화/레저,남성,60대,33737
20190105,스포츠/문화/레저,여성,20대,64213
20190105,스포츠/문화/레저,여성,30대,94433
20190105,스포츠/문화/레저,여성,40대,124218
20190105,스포츠/문화/레저,여성,50대,79324
20190105,스포츠/문화/레저,여성,60대,24439
20190105,여행/교통,남성,20대,37063
20190105,여행/교통,남성,30대,92898
20190105,여행/교통,남성,40대,100818
20190105,여행/교통,남성,50대,64518
20190105,여행/교통,남성,60대,21182
20190105,여행/교통,여성,20대,37693
20190105,여행/교통,여성,30대,59729
20190105,여행/교통,여성,40대,66537
20190105,여행/교통,여성,50대,43188
20190105,여행/교통,여성,60대,12318
20190105,요식/유흥,남성,20대,507539
20190105,요식/유흥,남성,30대,1163027
20190105,요식/유흥,남성,40대,1290796
20190105,요식/유흥,남성,50대,787380
20190105,요식/유흥,남성,60대,278579
20190105,요식/유흥,여성,20대,568779
20190105,요식/유흥,여성,30대,814712
20190105,요식/유흥,여성,40대,972440
20190105,요식/유흥,여성,50대,591038
20190105,요식/유흥,여성,60대,187259
20190105,의료,남성,20대,43665
20190105,의료,남성,30대,222729
20190105,의료,남성,40대,297141
20190105,의료,남성,50대,194079
20190105,의료,남성,60대,107153
20190105,의료,여성,20대,85490
20190105,의료,여성,30대,214504
20190105,의료,여성,40대,229439
20190105,의료,여성,50대,176801
20190105,의료,여성,60대,83003
20190105,자동차,남성,20대,13631
20190105,자동차,남성,30대,52567
20190105,자동차,남성,40대,60147
20190105,자동차,남성,50대,44073
20190105,자동차,남성,60대,17308
20190105,자동차,여성,20대,7636
20190105,자동차,여성,30대,22399
20190105,자동차,여성,40대,26575
20190105,자동차,여성,50대,19432
20190105,자동차,여성,60대,6278
20190105,주유,남성,20대,53787
20190105,주유,남성,30대,185422
20190105,주유,남성,40대,245841
20190105,주유,남성,50대,210110
20190105,주유,남성,60대,94923
20190105,주유,여성,20대,25318
20190105,주유,여성,30대,72187
20190105,주유,여성,40대,97197
20190105,주유,여성,50대,91059
20190105,주유,여성,60대,33769
20190105,패션/잡화,남성,20대,15651
20190105,패션/잡화,남성,30대,34062
20190105,패션/잡화,남성,40대,43321
20190105,패션/잡화,남성,50대,29632
20190105,패션/잡화,남성,60대,12482
20190105,패션/잡화,여성,20대,37413
20190105,패션/잡화,여성,30대,41937
20190105,패션/잡화,여성,40대,57670
20190105,패션/잡화,여성,50대,44930
20190105,패션/잡화,여성,60대,19651
20190105,편의점,남성,20대,328130
20190105,편의점,남성,30대,566964
20190105,편의점,남성,40대,458136
20190105,편의점,남성,50대,221420
20190105,편의점,남성,60대,56840
20190105,편의점,여성,20대,222741
20190105,편의점,여성,30대,236785
20190105,편의점,여성,40대,232396
20190105,편의점,여성,50대,144278
20190105,편의점,여성,60대,37710
20190105,할인점/마트,남성,20대,156888
20190105,할인점/마트,남성,30대,652635
20190105,할인점/마트,남성,40대,892395
20190105,할인점/마트,남성,50대,582704
20190105,할인점/마트,남성,60대,277314
20190105,할인점/마트,여성,20대,188731
20190105,할인점/마트,여성,30대,537035
20190105,할인점/마트,여성,40대,763525
20190105,할인점/마트,여성,50대,625237
20190105,할인점/마트,여성,60대,290860
20190106,가전/가구,남성,20대,6760
20190106,가전/가구,남성,30대,23012
20190106,가전/가구,남성,40대,28887
20190106,가전/가구,남성,50대,20016
20190106,가전/가구,남성,60대,8669
20190106,가전/가구,여성,20대,7507
20190106,가전/가구,여성,30대,18283
20190106,가전/가구,여성,40대,22167
20190106,가전/가구,여성,50대,18467
20190106,가전/가구,여성,60대,6785
20190106,가정생활/서비스,남성,20대,345
20190106,가정생활/서비스,남성,30대,1285
20190106,가정생활/서비스,남성,40대,2109
20190106,가정생활/서비스,남성,50대,1797
20190106,가정생활/서비스,남성,60대,725
20190106,가정생활/서비스,여성,20대,187
20190106,가정생활/서비스,여성,30대,800
20190106,가정생활/서비스,여성,40대,1228
20190106,가정생활/서비스,여성,50대,1312
20190106,가정생활/서비스,여성,60대,716
